State,County,Start_Lat,Start_Lng,Junction,Crossing,Traffic_Signal,Stop,Station,Amenity,n_rows,n_acc
DC,District of Columbia,38.89781093228799,-77.0062434005739,0.10425531914893617,0.30034042553191487,0.2971063829787234,0.060936170212765955,0.07293617021276595,0.14740425531914894,11750,8757
DE,Kent,39.099629139801614,-75.54604392017325,0.04261954261954262,0.059251559251559255,0.12370062370062371,0.02390852390852391,0.0,0.0031185031185031187,962,451
DE,New Castle,39.68667130990002,-75.60971770183293,0.0418324137046067,0.12973181059925573,0.23456948543564737,0.03759784421917105,0.0021814448864365455,0.011548825869369948,7793,4374
DE,Sussex,38.673053746538955,-75.36907220301718,0.0,0.034830430797433545,0.1915673693858845,0.07516040329972502,0.0,0.0,1091,395
FL,Alachua,29.670969981403797,-82.39729592491962,0.02727272727272727,0.2590909090909091,0.1175,0.057045454545454545,0.052954545454545456,0.012045454545454545,4400,2434
FL,Baker,30.26941367315924,-82.1877886739252,0.0412573673870334,0.021611001964636542,0.09233791748526522,0.0,0.0,0.0,1018,504
FL,Bay,30.24513468338423,-85.6618582455445,0.004419889502762431,0.25718232044198897,0.1696132596685083,0.08453038674033149,0.0,0.0022099447513812156,3620,1740
FL,Bradford,29.936762320949402,-82.13038832203203,0.0,0.15502183406113537,0.13100436681222707,0.0,0.0,0.0,458,132
FL,Brevard,28.27929870795442,-80.7122288617031,0.04321266968325792,0.3055429864253394,0.17703619909502263,0.09321266968325792,0.045588235294117645,0.005542986425339367,8840,5139
FL,Broward,26.11577564386792,-80.1981379628001,0.1084753677328975,0.11132383843100631,0.16712584636936725,0.007518094793369134,0.014709315900070045,0.007144524865748307,21415,17971
FL,Calhoun,30.460841596747162,-85.1494821440842,0.0,0.0,0.0682261208576998,0.0,0.0,0.007797270955165692,513,155
FL,Charlotte,26.941763174956172,-82.1056247296657,0.02155453951665578,0.1574134552580013,0.19660352710646636,0.013063357282821686,0.0,0.005878510777269758,1531,837
FL,Citrus,28.866547581024278,-82.46252840855313,0.0,0.16835699797160245,0.12657200811359026,0.0,0.0,0.004056795131845842,2465,946
FL,Clay,30.10295604785442,-81.77740366370361,0.0036319612590799033,0.403954802259887,0.3119451170298628,0.0,0.0,0.0036319612590799033,2478,1638
